title,company,location,salary_min,salary_max,description,date_collected
Data Analyst,,"Gurgaon, Haryana",,,"Job brief We are looking for a passionate professional to turn data into information, information into insight and insight into business decisions. The responsibilities include monitoring full ETL lifecycle activities to include requirements analysis and design, developing analysis and reporting capabilities, continuously monitoring performance and quality control plans to identify improvements. The candidate should also be capable enough to handle adhoc data requirements into the required form…",2026-08-10
Information Technology Internal Auditor,Mizuho,"Chennai, Tamil Nadu",,,"Mizuho Global Services Pvt Ltd (MGS) is a subsidiary company of Mizuho Bank, Ltd, which is one of the largest banks or so called Mega Banks of Japan. MGS was established in the year 2020 as part of Mizuhos long-term strategy of creating a captive global processing center for remotely handling banking and IT related operations of Mizuho Banks domestic and overseas offices and Mizuhos group companies across the globe. At Mizuho we are committed to a culture that is driven by ethical values and su…",2026-08-10
Data Analyst / Data Scientist,Weekday AI,India,,,"This role is for one of the Weekday's clients Salary range: Rs 300000 - Rs 1200000 (ie INR 3-12 LPA) Min Experience: 1 years Location: Remote (India) JobType: full-time We’re looking for a passionate and detail-oriented Data Analyst / Data Scientist to join our growing analytics team. This role is perfect for someone who thrives on solving complex problems using data, loves diving deep into datasets, and has a strong command of analytical tools and programming languages. As a Data Analyst / Dat…",2026-08-10
Data Analyst/ Data Modeler,Capgemini,"Hyderabad, Telangana",,,"Job Description Capgemini is hiring for Data Analyst/ Data Modeler Location: Pan India Experience range: 13 years to 16 years We are looking for Data Analyst with 13 years of hands-on experience in collecting, analysing, and interpreting large datasets to support business decision-making. The Data Analyst plays a pivotal role in enabling data-driven decision-making by extracting insights from complex datasets. This role supports the development and deployment of AI/ML and Gen AI solutions by en…",2026-08-10
Data Analyst - Deloitte,Trigent Software Private Limited,"Richmond Town, Bangalore",1000000.0,1500000.0,"Location : Bangalore Exp : 4 Yrs (Bigdata with Hive SQL ) Notice Period : Immediate- 30 Days JD : Strategic Business Data Analyst with 4.4 years of experience driving data-driven decision-making in financial services and insurance domain. Proven track record of reducing regulatory adjustments by 35%, improving data quality by 40%, and enhancing reporting accuracy for Basel compliance initiatives.requirements gathering, process analysis, workflow optimization, stakeholder management, and Agile d…",2026-08-10
HR Data Analyst,"Opalforce, Inc.","Naduvathi, Bangalore",,,"Job Title: HR Data Analyst Location: Bangalore High Level JD: Collect, compile, and analyze HR Data for trends with regard to recruitment practices, retention/turnover and apply this data to make recommendatios Excellent knowledge of Microsoft Office Suite, and Excel and the ability to createcharts,spreadsheets and presentations Compiling reports of data results and presenting these to senior managers. A minimum of 2 years experience in similar role. Ability to work with cross-functional teams …",2026-08-10
Statistician/Data Analyst,Two95 International Inc.,India,,,"Location: Karnataka Experience: 5 Years Qualification: Bachelor’s / Master’s Degree in Statistics Job Summary: We are seeking an experienced Statistician / Data Analyst to support survey analysis, statistical modeling, and data-driven planning activities for Master Plan / Urban Development projects. The candidate should possess strong analytical skills and experience in handling large datasets, statistical tools, and reporting. Kannada language proficiency is mandatory. Key Responsibilities: Pe…",2026-08-10
Data Analyst - Remote,YO AI Labs,"Bangalore, Karnataka",,,"Job Title: Data Analyst (Excel) Job Type: Contractor Location: Remote Job Summary: In this role, you'll apply your expertise to help train next-generation AI systems. Your work will shape how models learn, reason, and perform through high-quality, real-world input. No prior experience in AI is required — your domain knowledge is what matters. Key Responsibilities: Conduct in-depth data analysis using Microsoft Excel to extract actionable insights and support decision-making across teams. Collab…",2026-08-10
Big Data Analyst,DATAECONOMY,"Kyasaram, Hyderabad",,,Who are we looking for? We are looking for self-motivated hands-on Data Analyst for state street’s AML Transformation program. Candidate will closely work with Technical and business teams in an agile fashion to develop Technical solution for AML Transaction Monitoring and other compliance Program. What will you be responsible for? · Evaluate organizational methods and provide source-to-target mappings and information-model specification documents for data sets. · Work directly with management …,2026-08-10
data analyst / data analytics,Aspyra Hr Services,"Hyderabad, Telangana",,,"Roles and Responsibilities: Extract, manipulate, and analyze large datasets from various sources such as Hive, SQL databases, and BI tools. Develop and maintain dashboards using Tableau to provide insights on banking performance, market trends, and customer behavior. Collaborate with cross-functional teams to identify key performance indicators (KPIs) and develop data visualizations to drive business decisions. Desired Candidate Profile: 6–10 years of experience in Data Analytics or related fie…",2026-08-10
data analyst / Data analytics,Aspyra Hr Services,"Pune, Maharashtra",,,"Roles and Responsibilities: Extract, manipulate, and analyze large datasets from various sources such as Hive, SQL databases, and BI tools. Develop and maintain dashboards using Tableau to provide insights on banking performance, market trends, and customer behavior. Collaborate with cross-functional teams to identify key performance indicators (KPIs) and develop data visualizations to drive business decisions. Desired Candidate Profile: 3–8 years of experience in Data Analytics or a related fi…",2026-08-10
Senior Data Analyst,Sia,"Mumbai, Maharashtra",,,"Job Description We are hiring a Power BI Developer to support our global internal teams (Finance, HR, Strategy, Corporate Functions) by maintaining, improving, and delivering high-impact business intelligence dashboards, datasets, and analytics solutions. This role is critical for strengthening our internal reporting systems and driving data-backed decision-making across the organization. Key Responsibilities Lead the design, implementation, and upkeep of ETL / data pipelines (from source files…",2026-08-10
Data Analyst Intern,MTAB Technology Center P Ltd,"Injambakkam, Chennai",,,"This is a remote position. Attention: It's mandatory to Click Here and Apply Are you eager to kickstart your career in data analysis? Apply for the Abhyaz Internships at MTC! We are seeking analytical and dynamic individuals who are passionate about working with data and making informed decisions. If you have a keen eye for detail and enjoy working with complex datasets, then this internship is perfect for you. Core Functional Responsibilities: Understand the business scenario Work with heads o…",2026-08-10
Data Analyst (Leegality),Leegality,India,,,"This is a remote position. Company Mission: Leegality is India’s first Document Infrastructure Platform - a radical new digital way for businesses to complete paperwork (agreements, forms and other legal documents). Over the last 7 years, Leegality has changed the way 2000 Businesses do their paperwork from large enterprises like HDFC, SBI Cards, Federal Bank, ICICI Lombard, Axis Finance, Tata Capital etc. to high-growth companies like Razorpay, Rupeek, Cars24, Dunzo etc. To see our impact on c…",2026-08-10
Senior Data Analyst,Aliqan Services,"Bangalore, Karnataka",,,"Job description Data analyst, data brick, Azure, Python, Spark, Pyspark, Data factory Role: Data Analyst Industry Type: IT Services & Consulting Department: Data Science & Analytics Employment Type: Full Time, Permanent Role Category: Business Intelligence & Analytics Education UG: B.Tech/B.E. in Any Specialization Skills: Spark, Pyspark, Data Factory, Azure, Data Analyst, Python Experience: 9.00-14.00 Years",2026-08-10
Data Analyst Trainee,Lead India,"Bangalore, Karnataka",,,"Job Description: Data Analyst Lead India is looking for dynamic data analysts who has passion for data and a relentless focus on execution and delivery. The candidate is expected to come up with insightful data presentation to make informed decisions. As a data analyst your roles and responsibilities will be as follows: Experience: 0-1 years Technical Skills: Strong Work experience on Azure (App Insights, Stream analytics, Data Factory, Data warehouse, Azure Storage accounts, Blobs) Strong anal…",2026-08-10
Data Analyst Intern,Optimspace,"Pune, Maharashtra",,,"Job Title: Data Analyst Intern Company: Optimspace.in Location: Remote Duration: 3 months Opportunity: Full-time based on performance, with a Certificate of Internship Optimspace.in Optimspace.in offers practical experience for students and graduates in data analysis to enhance career prospects and provide hands-on learning opportunities in a real-world environment. Responsibilities Collect, clean, and analyze datasets. Develop reports and data visualizations. Identify trends and patterns in da…",2026-08-10
Sr.Data Analyst,HCL Technologies Limited,"Hyderabad, Telangana",,,"HCLTech is hiring for Sr.Data analyst Please Note: Immediate joiners only Location: Hitechcity, Hyderabad Mode: Work from office Shifts: Night Shifts Cab Facility: Yes (chargeable) Over 4 yrs of customer service experience, including managing multiple phone lines and handling ticket-related communications in a Command Center environment. Strong computer proficiency, including Data Entry and advanced use of MS Office Suite (Word, Excel, Outlook). Expertise in data visualization and analytics, wi…",2026-08-10
GSS Data Analyst,SLB,India,,,"The GSS Data Analyst is responsible for delivering safe, efficient, and reliable PSD to customers. The GSS Data Analyst identifies opportunities to improve service delivery, implements standard work, and manages risk during service delivery. This person monitors the well to provide timely and factual information to our customers; maintains sensors, equipment, and data acquisition equipment; and delivers high quality data to the customer at the wellsite. Ensure job deliverables are accurate and …",2026-08-10
Hiring- Data Analyst,intouchcx,"Hyderabad, Telangana",,,"About the Job Join us in transforming the perception of customer service! We are seeking a dedicated Data Analyst to analyze and report on operational data, enhancing program performance visibility. This role is vital in contributing to various projects and performing ad-hoc analyses, providing timely insights that support strategic decision-making. If you are passionate about data and eager to make a significant impact, we invite you to apply! As Data Analyst, You Will Collect and organize lar…",2026-08-10
Sr. Data Analyst,Multi Recruit,"Bangalore, Karnataka",600000.0,1500000.0,"Managing and designing the reporting environment, including data sources, security, and metadata. Preparing reports for executive leadership that effectively communicate trends, patterns, and predictions using relevant data Establish KPIs to measure the effectiveness of business decisions. Work with management to prioritize business and information needs. Provide data solutions, tools, and capabilities to enable self-service frameworks for data consumers Provide expertise and translate the busi…",2026-08-10
Sr Data Analyst,Jobizo,India,700000.0,1000000.0,"About the Role: We are looking for a skilled and detail-oriented Data Analyst to join our team. The ideal candidate will be responsible for collecting, analyzing, and interpreting large datasets to support data-driven decision-making across the organization. Proficiency in MongoDB and SQL is essential for this role. Key Responsibilities: Collect, process, and clean structured and unstructured data from various sources. Analyze data using SQL queries and MongoDB aggregations to extract insights.…",2026-08-10
Data Analyst Intern,Portcast,India,,,"Portcast is a venture-backed, Singapore-based logistics technology startup building a real-time transportation visibility platform for global supply chains. We help shippers, manufacturers, and logistics service providers turn data into decisions and decisions into measurable business impact. Our platform goes beyond visibility. Portcast enables action at scale by surfacing the right risks early, helping teams prevent detention and demurrage, accelerate exception management, and close invoices …",2026-08-10
Senior Data Analyst,Flipkart,"Bangalore, Karnataka",,,"We are looking for data analyst expertized on Oracle SQL/PLSQL having 5-8 years of experience. Successful candidates will work as a part of a team and help us in building SQL Automations. As we help our clients target, measure and improve mission-critical business metrics and generate demonstrable return on investment, our SQL data analysts enjoy a high level of responsibility and immediate client interactions. In addition to technical excellence, you are expected to be excellent communicators …",2026-08-10
Senior Data Analyst,r3 Consultant,"Pune, Maharashtra",,,"Description R3 Consultant is looking for a Senior Data Analyst to join our team in Pune. This full-time, on-site position offers an exciting opportunity to delve into data analytics within the staffing and recruiting industry, where your insights will drive strategic decision-making. As a Senior Data Analyst, you will play a pivotal role in analyzing complex datasets to identify trends, patterns, and insights that will enhance our recruitment strategies and improve client outcomes. You will col…",2026-08-10
