,Name,Rating,Reviews,About_Locations,Avg_salary,TotalJobs
245,IndusInd Nippon Life Insurance,3.4,(3.4k),Mumbai +488 other locations,3.8k,2
246,Bajaj General Insurance Limited,3.7,(3.4k),Insurance | Pune +303 other locations,10.8k,253
247,Ford Motor,4.2,(3.4k),Automobile | Chennai +131 other locations,15.3k,3
248,ABB,4.0,(3.3k),Industrial Machinery | Bengaluru +108 other locations,18k,4.6k
249,Ceat Tyres,3.9,(3.3k),Auto Components | Nagpur +142 other locations,13.1k,13
250,Barclays,3.7,(3.3k),Banking | Pune +35 other locations,32.3k,--
251,HARMAN,3.8,(3.3k),Consumer Electronics & Appliances | Bengaluru +42 other locations,24.1k,102
252,RSPL Group,4.0,(3.3k),FMCG | Kanpur +256 other locations,9.6k,19
253,AGS Health,4.0,(3.3k),Analytics & KPO | Chennai +64 other locations,14.5k,56
254,TVS Credit Services Ltd,4.2,(3.3k),NBFC | Chennai +435 other locations,7.2k,24
255,NatWest Group,4.0,(3.3k),Banking | Gurugram +28 other locations,21.1k,75
256,Croma,3.8,(3.3k),Retail | Mumbai +192 other locations,9.2k,25
257,InterGlobe Aviation,3.5,(3.2k),Aviation | New Delhi +105 other locations,13.5k,67
258,Niva Bupa Health Insurance Company,4.0,(3.2k),Insurance | New Delhi +321 other locations,8.4k,99
259,Alstom Transportation,3.7,(3.2k),Engineering & Construction | Bengaluru +80 other locations,15.1k,309
260,Conduent,3.4,(3.2k),BPO | Bengaluru +34 other locations,16.9k,393
261,Indian Air Force,4.6,(3.2k),Defence & Aerospace | New Delhi +134 other locations,5.4k,--
262,Tata Technologies,3.4,(3.2k),Engineering & Construction | Pune +57 other locations,22.9k,156
263,Tata AIG,4.0,(3.2k),Insurance | Mumbai +260 other locations,11.3k,81
264,GeBBS Healthcare Solutions,3.7,(3.2k),BPO | Mumbai +24 other locations,11.3k,71
265,Allcargo Logistics,3.8,(3.2k),Logistics | Mumbai +175 other locations,7.1k,42
266,UPL,4.1,(3.2k),Agro Chemicals | Ankleshwar +185 other locations,11.2k,51
267,Marpu Foundation,4.9,(3.1k),Non-Profit | Hyderabad +61 other locations,60,--
268,Max Healthcare,3.9,(3.1k),Healthcare | New Delhi +78 other locations,10.4k,110
269,PepsiCo,4.1,(3.1k),Food Processing | Hyderabad +277 other locations,13.4k,286
270,Amazon Transportation Services,4.2,(3.1k),Logistics | Hyderabad +226 other locations,8.4k,--
271,Titan Company,4.2,(3.1k),Retail | Bengaluru +185 other locations,9.5k,120
272,Dilip Buildcon,3.9,(3.1k),Engineering & Construction | Bhopal +229 other locations,8.2k,21
273,Walmart,3.5,(3.1k),Retail | Bengaluru +91 other locations,22.8k,210
274,Mankind Pharma,3.8,(3.1k),Pharma | New Delhi +247 other locations,9.5k,10
